"nome","sobrenome","e_mail","preco_total"
"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","US$ 211.55"
"Karl","Seal","karl.seal@sakilacustomer.org","US$ 208.58"
"Marion","Snyder","marion.snyder@sakilacustomer.org","US$ 194.61"
"Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org","US$ 191.62"
"Clara","Shaw","clara.shaw@sakilacustomer.org","US$ 189.60"
"Tommy","Collazo","tommy.collazo@sakilacustomer.org","US$ 183.63"
"Ana","Bradley","ana.bradley@sakilacustomer.org","US$ 167.67"
"Curtis","Irby","curtis.irby@sakilacustomer.org","US$ 167.62"
"Marcia","Dean","marcia.dean@sakilacustomer.org","US$ 166.61"
"Mike","Way","mike.way@sakilacustomer.org","US$ 162.67"
