"nome","sobrenome","e_mail","preco_total"
"Brian","Wyman","brian.wyman@sakilacustomer.org","US$ 27.93"
"Leona","Obrien","leona.obrien@sakilacustomer.org","US$ 32.90"
"Caroline","Bowman","caroline.bowman@sakilacustomer.org","US$ 37.87"
"Anthony","Schwab","anthony.schwab@sakilacustomer.org","US$ 47.85"
"Tiffany","Jordan","tiffany.jordan@sakilacustomer.org","US$ 49.88"
"Kirk","Stclair","kirk.stclair@sakilacustomer.org","US$ 50.83"
"Bobbie","Craig","bobbie.craig@sakilacustomer.org","US$ 52.81"
"Jo","Fowler","jo.fowler@sakilacustomer.org","US$ 54.85"
"Penny","Neal","penny.neal@sakilacustomer.org","US$ 56.84"
"Johnny","Turpin","johnny.turpin@sakilacustomer.org","US$ 57.81"
